username,tweet_id,date,text,tweet_length,topic,topic_labels,sentiment
williamsruto,1521418402157445120,2022-05-03 09:16:28+00:00,"Mheshimiwa David Ole Sankok and the family, you are in our prayers and thoughts during this painful time. May God g ",116,5,family,neutral
williamsruto,1431972909493493761,2021-08-29 13:32:01+00:00,"During Holy Mass at St. Augustine Catholic Church, Bahati, Nakuru County. MPs present were Nakuru , ",100,5,,neutral
railaodinga,888801638626013184,2017-07-22 16:43:18+00:00,"Today in Lamu, NASA condemned Jubilee for planning to use a dusk dawn curfew to depress voter turnout and rig the e ",116,8,politics,neutral
williamsruto,1493921170965635077,2022-02-16 12:12:17+00:00,Provision of education facilities is key to all rounded schooling. It is the role of the national government and lo ,116,14,education,neutral
williamsruto,1438904726670745601,2021-09-17 16:36:35+00:00,"Offering requisite support to the millions of ordinary Kenyans and their businesses will create jobs, generate reve ",116,1,,positive
williamsruto,1429771604335095815,2021-08-23 11:44:49+00:00, ,1,0,,neutral
williamsruto,1441786509317771264,2021-09-25 15:27:45+00:00,The Bottom up economic model will lift majority of ordinary Kenyans who are struggling to make ends meet. ,106,6,insecurity,neutral
railaodinga,956816104680177664,2018-01-26 09:08:30+00:00,Our Major Announcement Regarding Our Coalition's Way Forward ,61,9,politics,neutral
williamsruto,1464979331847909385,2021-11-28 15:27:45+00:00, ,1,0,,neutral
railaodinga,922487836544204801,2017-10-23 15:40:13+00:00,The promises we've made to the Kenyan people remain binding and we intend to deliver on each one. ,98,16,,neutral
williamsruto,1414563946410004481,2021-07-12 12:35:00+00:00,We celebrate Kenya Simbas incredible performance in the quest for qualification for the World Cup. We are convinced ,116,14,sports,positive
williamsruto,1430071527039377413,2021-08-24 07:36:36+00:00, ,1,0,,neutral
railaodinga,885129640347660288,2017-07-12 13:32:05+00:00,"2. This accident reminds us of sacrifices journalists face daily to keep Kenyans informed, something we sometimes take for granted.",131,2,,neutral
railaodinga,1370981339328081921,2021-03-14 06:13:17+00:00,I m glad to be back at home. ,29,9,family,positive
williamsruto,1534127491849326592,2022-06-07 10:57:51+00:00,"With us were Deputy Governor , MPs Ahmed Kolosh Wajir West , Garissa Township , former Sen ",91,2,politics,neutral
williamsruto,1495018876945457155,2022-02-19 12:54:11+00:00,This will be our priority as we tap into the potential of agriculture to ensure food security and grow our economy. ,116,1,insecurity,positive
railaodinga,1488550912545148931,2022-02-01 16:32:48+00:00,Kajiado mpo ,12,3,,neutral
railaodinga,1150791583467560960,2019-07-15 15:37:48+00:00,"We must invest in infrastructure of Energy, Roads, Railways, Airways and Internet Connectivity. Meaningful trade, e ",116,10,,positive
williamsruto,1538123011680833539,2022-06-18 11:34:37+00:00,"The August 9 election should not divide our country. Let us compete on ideas, issues and development programmes. Ke ",116,14,politics,neutral
williamsruto,1522255263960547328,2022-05-05 16:41:51+00:00,The people want to have a real conversation about tangible progress in their own lives and in their own communities. ,117,17,,neutral
railaodinga,1497624570760765443,2022-02-26 17:28:16+00:00,Asanteni Wanachungwa. ,22,11,family,neutral
railaodinga,1421099678221934592,2021-07-30 13:25:40+00:00,This afternoon I got the AstraZeneca Covid 19 vaccine jab. Having been a victim of this deadly virus I urge all t ,114,7,,neutral
williamsruto,1439982599078916099,2021-09-20 15:59:39+00:00,"We have every intention to transform Kenya through a bold, robust and wide ranging conversation. A conversation of ",115,18,,positive
railaodinga,878979521009127426,2017-06-25 14:13:43+00:00, VinduVichenjanga ,18,0,,neutral
williamsruto,1538905116199231490,2022-06-20 15:22:25+00:00,"We will confront the challenges facing the nation by creating an all inclusive economy, implementing hustler friend ",116,17,,positive
williamsruto,1490291650555432962,2022-02-06 11:49:52+00:00,"Sunday service at Mwichio Anglican Church of Kenya in Emuhaya Constituency, Vihiga County... ",93,2,,neutral
railaodinga,1465618790947905539,2021-11-30 09:48:44+00:00,"Receiving Defectors from Mandera, led by Hon. Hassan Noor ",58,5,,neutral
williamsruto,1493573094073671683,2022-02-15 13:09:09+00:00,"During the official opening of Ngusso Primary School tuition block funded by NG CDF in Kajiado East, Kajiado County ",116,14,education,neutral
williamsruto,1542083911915917314,2022-06-29 09:53:49+00:00,"This was our commitment at Kathwana Town as we engaged farmers, small traders, grassroots leaders, opinion shapers, ",116,8,,neutral
williamsruto,1439586545757941761,2021-09-19 13:45:53+00:00, ,1,0,,neutral
railaodinga,859439979608584193,2017-05-02 16:10:33+00:00,"With TeamNASA planning for a better, more affordable Kenya ",59,6,,positive
railaodinga,1357299393800646658,2021-02-04 12:06:07+00:00,I had the pleasure of holding a consultative forum with leaders from Kajiado led by Governor . The Maa lea ,107,3,,positive
railaodinga,1335502113846210560,2020-12-06 08:31:31+00:00,Congratulations Kibiwott Kandie on breaking the half marathon world record in Valencia. You have done us proud by k ,116,19,sports,positive
railaodinga,1405550644816191498,2021-06-17 15:39:22+00:00,My heartfelt condolences go to the people of Zambia following the passing of their founding president who was a pea ,116,12,,neutral
williamsruto,1497263303768301570,2022-02-25 17:32:44+00:00,"RT As the Western Kenya Leadership, today marks a great milestone in the quest to liberate our people and ensure that we ",121,7,,positive
railaodinga,1375148461360881671,2021-03-25 18:11:56+00:00,Hongera stars for the gallant effort and playing your hearts out to hold the hard fighting Egyptian Nati ,105,4,,positive
williamsruto,1415626679377137672,2021-07-15 10:57:56+00:00,"When well harnessed these advantages of a young population can spur economic growth and prosperity. Today, as we ce ",116,17,,positive
railaodinga,1403360449077338116,2021-06-11 14:36:18+00:00,The people of Kibwezi and our country have lost a charismatic leader with exceptional grassroots mobilization skill ,116,12,,neutral
railaodinga,922096052131397638,2017-10-22 13:43:25+00:00,Reiterating our stand as a coalition in Matisi Market NoOctoberElection ,72,0,politics,neutral
williamsruto,1469680892276879371,2021-12-11 14:50:04+00:00,"We will keep cementing our partnership with devolved units to protect, enrich and exploit the huge potential of dif ",116,13,,positive
railaodinga,1479445955376205824,2022-01-07 13:32:57+00:00,"RT Odinga Happy birthday to my Teacher, My Twin, My Bestfriend and My Hero, Love you Dad ",89,9,family,positive
williamsruto,1405862858118905856,2021-06-18 12:19:59+00:00,"Joined athletics fraternity for the Tokyo 2020 Olympics trials at the Moi International Sports Centre Kasarani, Nai ",116,5,sports,neutral
railaodinga,1500097204882657280,2022-03-05 13:13:38+00:00,"From education, healthcare, agriculture, employment opportunities, and more, we shall change the lives of Kenyans r ",116,1,,positive
railaodinga,989125419923361793,2018-04-25 12:54:11+00:00,However corruption is killing devolution and I urge the to conduct lifestyle audits on county officials.,104,16,insecurity,neutral
williamsruto,1453686464131125249,2021-10-28 11:33:55+00:00, ,1,0,,neutral
railaodinga,1407896266047098883,2021-06-24 03:00:01+00:00, RailaMeansBusiness ,20,5,,neutral
railaodinga,1528019825603317765,2022-05-21 14:28:10+00:00, NewProfilePic ,15,0,,neutral
williamsruto,1546127222725115906,2022-07-10 13:40:30+00:00,"Joseph Namuar, Protus Akuja, Daniel Nanok, Christopher Nakuleu, Wiljustus Elim, Tonny Nasia, James Lowyarot, Charle ",116,19,family,neutral
railaodinga,837314125713788928,2017-03-02 14:50:18+00:00,Visiting Senator Stephen ole Ntutu Narok who is recuperating in hospital wishing him quick recovery. ,101,5,,positive
railaodinga,1526246134330667017,2022-05-16 17:00:09+00:00,"RT Ladies and Gentlemen, people of Kenya, family and friends, I am deeply honoured by the decision to nominate me as the Depu ",126,10,family,positive
williamsruto,1514347990747594765,2022-04-13 21:01:10+00:00,RT Summons to appear to face Displinary action in relation to burning of poll material Ms. Margaret Lorna Kariuki ,114,1,,neutral
williamsruto,1435204396367945736,2021-09-07 11:32:47+00:00,We are committed to getting Kenya back to serious work by opening opportunities for all and nurturing pro business ,115,1,,positive
williamsruto,1533441852627722240,2022-06-05 13:33:22+00:00,"With the congregation of Mother Church Anglican Church of Kenya ACK , Kabete Constituency, Kiambu County. ",106,2,,neutral
williamsruto,1418164652224229381,2021-07-22 11:02:55+00:00,This is because Kenyans are sufficiently informed to make informed decisions based on the leaders development trac ,115,2,,neutral
railaodinga,1199687784921026560,2019-11-27 13:53:51+00:00,These proposals in report are not the end but are the beginning of a much needed national debate about ,103,1,,neutral
railaodinga,1437394681852215304,2021-09-13 12:36:12+00:00,"The way out of the marginalization, poverty and myriad other injustices the Maa community continues to suffer, the ",115,6,insecurity,neutral
williamsruto,1460935649008271362,2021-11-17 11:39:36+00:00,"Supported smallscale traders at Nkondi and Kamarandi Markets, Tharaka Constituency, Tharaka Nithi County. ",106,8,,neutral
williamsruto,1439205924640632839,2021-09-18 12:33:26+00:00,Kenya has lost an insightful spiritual leader whose influence stretched beyond the pulpit to communities that count ,116,18,,neutral
williamsruto,1484859195916701702,2022-01-22 12:03:14+00:00,Inspired by the word of the Lord in 2 Thessalonians 3 16 Now may the Lord of peace himself give you peace at all ,113,0,,positive
railaodinga,1507573595509125121,2022-03-26 04:22:09+00:00,Busia County ilishika kushika. One Love. Inawezekana ,53,11,love,neutral
williamsruto,1429355813072621571,2021-08-22 08:12:36+00:00, ,1,0,,neutral
williamsruto,1541341245997563904,2022-06-27 08:42:44+00:00,Our County Assembly nominees are the engines and link to the people. Impressed with the energy radiating from our t ,116,3,politics,positive
williamsruto,1506692058689462279,2022-03-23 17:59:14+00:00,"Thank you the people of Mlolongo, Machakos County. ",51,14,,positive
williamsruto,1489933227687124995,2022-02-05 12:05:37+00:00," Kikuyu , Tharaka Nithi , Kiharu , R Mathira , ",47,13,family,neutral
railaodinga,852898209085239296,2017-04-14 14:55:53+00:00,Remembering the late Hon. Daudi Mwiraria. ,42,15,,neutral
railaodinga,1256624622600101888,2020-05-02 16:40:31+00:00,I sincerely thank all those who acted swiftly and saved lives from the capsized ferry in Lake Victoria earlier toda ,116,15,,positive
railaodinga,839898180632330240,2017-03-09 17:58:25+00:00,"I wish to sincerely thank all Kenyans for the prayers, sympathy, love and support on learning of my brief hospitalization yesterday.",132,5,love,positive
railaodinga,860214347511070721,2017-05-04 19:27:37+00:00,EACC is a joke. EACC itself is corrupt. They play political games and when we enter govt we will completely overhaul it ,120,17,politics,neutral
railaodinga,1516326708798009346,2022-04-19 08:03:54+00:00,"With firm determination and unity, we in Azimio shall continue working for a brighter future and better lives for a ",116,14,,positive
williamsruto,1441706082498330625,2021-09-25 10:08:10+00:00,Held a consultative meeting with Migori County grassroots leaders at the Sony Sugar Complex in Awendo Constituency ,115,14,,neutral
williamsruto,1543621573025959941,2022-07-03 15:43:56+00:00,Thanked residents of Auki in Igembe South and Mikinduri in Tigania East for the resounding welcome. ,100,3,,positive
railaodinga,1163385154691325953,2019-08-19 09:40:10+00:00,John Ng'ang'a Mwangi a.k.a John De Mathew did a great job as an artist. He enlightened young people against illicit ,116,3,,positive
railaodinga,1435208954536136711,2021-09-07 11:50:54+00:00,I have very fond memories of . It is the place I started life as a lecturer in the department of Engineering. ,110,1,education,positive
williamsruto,1545429350803185665,2022-07-08 15:27:24+00:00,"Gilgil town, Nakuru County. ",28,17,,neutral
williamsruto,1410588854457884678,2021-07-01 13:19:25+00:00,Met grassroot leaders that included religious heads and opinion shapers from Kiambu County led by Woman Rep. Gathon ,116,12,,neutral
williamsruto,1545767439274745856,2022-07-09 13:50:51+00:00,"In Lokichar Town, Turkana South, Turkana County, ",49,2,,neutral
railaodinga,1507945509553590276,2022-03-27 05:00:00+00:00,Happy Sunday ,13,2,,positive
williamsruto,1478333636843819019,2022-01-04 11:52:59+00:00,Good and reliable infrastructure is an essential part of a growing economy. The Bottom Up Economic model envisions ,115,17,,positive
railaodinga,1412607314184622080,2021-07-07 03:00:03+00:00,I BELIEVE THIS IS POSSIBLE FOR KENYA. WhatRailaBelieves ,56,7,,positive
williamsruto,1496821878639546370,2022-02-24 12:18:40+00:00,The August General Election will pit those that are for creation of jobs and enterprise expansion for ordinary Keny ,116,1,politics,neutral
williamsruto,1414180304860876803,2021-07-11 11:10:33+00:00,"Joined Faithful at New Breed City Chapel, Kiambu Road, Kiambu County for Sunday service. ",89,6,,neutral
railaodinga,1498616889827905536,2022-03-01 11:11:24+00:00,Tukutane Nakuru Kesho. ,23,11,family,neutral
williamsruto,1473651197676593155,2021-12-22 13:46:39+00:00,These army of men and women with cutting edge skills will help drive our economic development agenda that starts fr ,116,17,,positive
williamsruto,1451512103508926467,2021-10-22 11:33:47+00:00, ,1,0,,neutral
williamsruto,1431638353561194496,2021-08-28 15:22:36+00:00,"Our thoughts and prayers are with the family, their loved ones, the Ogiek Community and our Parliament. Rest In Pea ",116,5,family,neutral
williamsruto,1439205927161368576,2021-09-18 12:33:26+00:00,"We will miss his gentle spirit and endless love for everyone. Our thoughts and prayers are with the family, their ",114,5,family,positive
railaodinga,873494680427790336,2017-06-10 10:58:55+00:00, UkambaniNiNasa ,16,0,,neutral
williamsruto,1533120581465407489,2022-06-04 16:16:45+00:00," Waruguru Laikipia , Kiharu , James Gakuya Embakasi North , Benjamin Gathiru Embakasi Central ",94,2,family,neutral
railaodinga,865213578609127424,2017-05-18 14:32:46+00:00,Ensure your name is in the register. DO NOT be deleted as a ghost voter. DEMAND a clean register KuraSafi ,106,17,,neutral
williamsruto,1462773097791119368,2021-11-22 13:20:58+00:00,"Present were Governors Ndiritu Muriithi Laikipia , Kirinyaga , Prof 'o Kisumu , ",80,13,,neutral
railaodinga,1522643662122983426,2022-05-06 18:25:13+00:00,RT Kassim8 Fransham following the biggest digital rally in Africa. AzimioDigitalRally ,86,10,family,neutral
railaodinga,1450797854193225729,2021-10-20 12:15:37+00:00,Those who played various roles and sacrificed for Kenya's sake deserve our collective adoration and recognition. ,113,9,,positive
railaodinga,1502181778307624963,2022-03-11 07:16:59+00:00,Jumu'ah Mubarak to all our Muslim Brothers and Sisters ,55,4,family,positive
williamsruto,1451588286007463939,2021-10-22 16:36:31+00:00,The destiny of our country will be decided by Kenyans through their vote. Next year's election will accord them the ,116,16,politics,neutral
railaodinga,1532417100794429440,2022-06-02 17:41:22+00:00,RT Hakika Itawezekana The Fifth and ,36,9,,neutral
williamsruto,1526876118602633217,2022-05-18 10:43:29+00:00,The General Election on August 9 will be a vote against political deceit and conmanship. We at Kenya Kwanza will be ,116,16,politics,neutral
williamsruto,1470731392237686784,2021-12-14 12:24:23+00:00,We in UDA believe we have an economic model and political ideology that will move our country forward. ,103,17,politics,positive
williamsruto,1537448351901241345,2022-06-16 14:53:46+00:00,"With us were colleagues , , Ezekiel Machogu, , , Zaheer Jhanda ",63,6,,neutral
railaodinga,994580211902615552,2018-05-10 14:09:35+00:00,"The 14 member team of advisors of the Building Bridges Initiative, today held a familiarization lunch hosted by the ",116,10,,neutral
railaodinga,1030048427747540992,2018-08-16 11:07:37+00:00,The investors who are planning to set up a factory in Kisumu were accompanied by Kisumu County Deputy Governor Dr. ,115,2,,neutral
williamsruto,1456145329473179654,2021-11-04 06:24:35+00:00, ,1,0,,neutral
williamsruto,1459881793885282305,2021-11-14 13:51:57+00:00,"These societies will focus on supporting farmers through subsidised farm inputs, value addition and agro processin ",115,6,,neutral
williamsruto,1500165373769011202,2022-03-05 17:44:31+00:00,Ford Kenya Leader Moses Wetang ula promoted our Bottom Up Economic Model to the residents and traders of Kamukuywa ,115,3,,neutral
williamsruto,1459810105940008965,2021-11-14 09:07:05+00:00,"Sunday service at Africa Christian Church and Schools, Kangari, Muranga County. ",80,19,,neutral
williamsruto,1531869095536345089,2022-06-01 05:23:47+00:00, ,1,0,,neutral
williamsruto,1497139274273144832,2022-02-25 09:19:53+00:00,May the Lord comfort you and grant her eternal rest.,52,10,,positive
railaodinga,1072759674011873280,2018-12-12 07:46:51+00:00,As we mark the 55th Jamhuri Day let us pause to reflect on how far we have come as a people and strive even harder ,115,7,family,positive
williamsruto,1439609856839847937,2021-09-19 15:18:31+00:00,The crafting of effective plans that nurture farming and small scale businesses is part of our assorted initiatives ,116,1,,positive
railaodinga,1447188180759949317,2021-10-10 13:12:04+00:00,"Mabeshte wa Nyahururu asanteni kwa kutokelezea kwa wingi, niwewaskia. Tutasonga Mbele Pamoja. N t g coka r ng ",110,11,,neutral
railaodinga,966206708556222466,2018-02-21 07:03:25+00:00,"RT H.E. Raila Odinga received a rousing welcome in his address to family, friends and MDC supporters at the burial of MDC ",122,9,family,positive
railaodinga,852435763803435008,2017-04-13 08:18:18+00:00,"The ceremony is reserved for a few. With it, the elders committed the Samburu community to support our movement to ",115,17,,neutral
williamsruto,1404430013546610688,2021-06-14 13:26:22+00:00,"His presence and voice will be missed by many, and his colossal legacy, just like his towering personality, will co ",116,0,,neutral
williamsruto,1464938517314908165,2021-11-28 12:45:34+00:00,Kagumo Kirinyaga County. ,25,17,,neutral
williamsruto,1523599843402260480,2022-05-09 09:44:44+00:00,We welcome the speaker of Kilifi County Assembly Jimmy Kahindi ODM Azimio to Kenya Kwanza. This is the coalition ,113,3,,positive
railaodinga,1006471264784015361,2018-06-12 09:40:23+00:00,"Dr. James Mwangi, the chairman of Kenya Vision 2030 Board called on me at Capitol Hill sq. He briefed me on the upc ",116,12,,neutral
williamsruto,1451242774410502144,2021-10-21 17:43:34+00:00,"Women, youth and special interest groups occupy a central spot in the United Democratic Alliance party s fabric bec ",116,17,politics,neutral
williamsruto,1467862217198641158,2021-12-06 14:23:18+00:00,"Under the agriculture pillar of our economic model, we will provide farmers with subsidised quality seeds and ferti ",116,1,,neutral
williamsruto,1446744393940013059,2021-10-09 07:48:37+00:00, ,1,0,,neutral
williamsruto,1487467480629059584,2022-01-29 16:47:37+00:00,"Was accompanied by Party Leaders ANC , Ford Kenya and a host of leaders at Thiba Gr ",84,3,politics,neutral
williamsruto,1473651150805258240,2021-12-22 13:46:28+00:00,"We are investing in our country s learning institutions to upscale our education to churn out innovators, thinkers ",115,15,education,positive
railaodinga,1028291971754942464,2018-08-11 14:48:05+00:00,I was thrilled to join fans as we watched an exciting RugbyAfricaGoldCup match at the RFUEA grounds this afternoon ,115,7,sports,positive
williamsruto,1463119682949599233,2021-11-23 12:18:10+00:00,"The Hustler Nation will reform this sector by dismantling cartels, offering extension services and quality supply o ",116,15,,positive
railaodinga,1427577781643358212,2021-08-17 10:27:20+00:00,"We must unite to safeguard the victories we have scored over the decades and advance them, to protect our democracy ",116,5,,positive
railaodinga,1428306810516250625,2021-08-19 10:44:14+00:00,"This region has an abundance of born soccer wizards and athletes young boys and girls who, with just a little supp ",115,3,sports,positive
williamsruto,1497605376832909313,2022-02-26 16:12:00+00:00,"We move on in the company of leaders ANC , Ford Kenya , Governors Mutahi Kahiga Ny ",83,3,,neutral
railaodinga,908357937856311296,2017-09-14 15:53:03+00:00,Our statement on IEBC preparedness for the fresh Presidential Election NoReformsNoElections ,92,16,politics,neutral
williamsruto,1545767161049653249,2022-07-09 13:49:44+00:00,so that we can exploit their economic potential and tackle poverty in our country. ,83,2,,positive
railaodinga,1151802387704799233,2019-07-18 10:34:23+00:00,Attended a roundtable at serc hosted by on the rapidly evolving energy sector that s undergoing ,96,12,,neutral
railaodinga,1428306688407392258,2021-08-19 10:43:45+00:00,We need to enhance investment in ICT and digital infrastructure to support communications and businesses especially ,116,1,,positive
williamsruto,1433808349460578307,2021-09-03 15:05:24+00:00,"Special mention to the Ramgarhia Youth Association for their effort in supporting the underprivileged in Kenya, esp ",116,17,,positive
williamsruto,1528012347247411201,2022-05-21 13:58:27+00:00,Engaging the people of Murang a County at the Gakoigo Stadium in Maragua Constituency on our vision to better their ,116,3,,positive
williamsruto,1543179781134483457,2022-07-02 10:28:25+00:00,"Kenya Kwanza will build capacity on green gram production, introduce improved varieties, enhance value addition in ",115,1,family,positive
williamsruto,1409155157040979970,2021-06-27 14:22:24+00:00,"At Africa Inland Church Bomani, Machakos Town to witness the installation of Bishop Rev. Dr Phillip Muia as the Mac ",116,0,,neutral
williamsruto,1534888320467181569,2022-06-09 13:21:07+00:00,"Gichunge Mwirabua, Kathuri Murungi, Charles Kanyi, , John Mutunga, Patrick Mariru, Elizabeth Karambu Ka ",104,0,family,neutral
railaodinga,891534129455607808,2017-07-30 05:41:15+00:00,Good morning. The day of change is near. Let us keep on marching. Let us make history together. God bless. ,107,7,,positive
railaodinga,938656411780648960,2017-12-07 06:28:22+00:00,Farewell To Departed Heroes II Resist KenyaMourns ,50,14,insecurity,neutral
railaodinga,1238415772130652161,2020-03-13 10:45:03+00:00,Statement on coronavirusinKenya ,32,8,,neutral
railaodinga,1456974755568001024,2021-11-06 13:20:25+00:00,One Love Wanjohi. Inawezekana RailaInNyandarua ,47,11,love,positive
williamsruto,1466092766505668609,2021-12-01 17:12:08+00:00,This is the level of the pyramid we wish to target as we grow the economy from the bottom. Every Hustle Matters ,112,1,,positive
railaodinga,1298953105346789377,2020-08-27 11:58:48+00:00,Hosted youth from various parts of the country as part of the 10th anniversary of the new constitution. I urged the ,116,6,,neutral
railaodinga,926806203258224642,2017-11-04 13:39:52+00:00,NASA Press Briefing ,20,7,space,neutral
